INSTNM,STABBR
Central State Beauty Academy,OK
University of Central Oklahoma,OK
Claremore Beauty College,OK
Connors State College,OK
East Central University,OK
Eastern Oklahoma State College,OK
Redlands Community College,OK
Enid Beauty College,OK
Eves College of Hairstyling,OK
Hillsdale Free Will Baptist College,OK
Hollywood Cosmetology Center,OK
Langston University,OK
Murray State College,OK
Spartan College of Aeronautics and Technology,OK
Northeastern State University,OK
Beauty Technical College Inc,OK
Northern Oklahoma College,OK
Northeastern Oklahoma A&M College,OK
Northwestern Oklahoma State University,OK
Oklahoma State University Center for Health Sciences,OK
Oklahoma Christian University,OK
University of Oklahoma-Health Sciences Center,OK
Oklahoma Panhandle State University,OK
Oklahoma State University-Main Campus,OK
Oklahoma State University-Oklahoma City,OK
Oklahoma Baptist University,OK
Oklahoma City Community College,OK
Oklahoma City University,OK
University of Oklahoma-Norman Campus,OK
Oklahoma School of Photography,OK
Oklahoma State University Institute of Technology,OK
Oral Roberts University,OK
Tulsa Technology Center-Peoria Campus,OK
Platt College-Central OKC,OK
Rogers State University,OK
Rose State College,OK
Saint Gregory's University,OK
Standard Beauty College of Oklahoma,OK
University of Science and Arts of Oklahoma,OK
Seminole State College,OK
Southern School of Beauty Inc,OK
Southeastern Oklahoma State University,OK
Southwestern Christian University,OK
Southwestern Oklahoma State University,OK
Tulsa Community College,OK
Tulsa Welding School-Tulsa,OK
University of Tulsa,OK
Virgil's Beauty College,OK
Indian Capital Technology Center-Tahlequah,OK
Western Oklahoma State College,OK
Woodward Beauty College,OK
High Plains Technology Center,OK
Academy of Hair Design-Salem,OR
Abdill Career College Inc,OR
Paul Mitchell the School-Portland,OR
The Art Institute of Portland,OR
Beau Monde College of Hair Design,OR
Blue Mountain Community College,OR
Central Oregon Community College,OR
Chemeketa Community College,OR
Clackamas Community College,OR
Clatsop Community College,OR
College of Hair Design Careers,OR
Concorde Career College-Portland,OR
Concordia University-Portland,OR
Sumner College,OR
East West College of the Healing Arts,OR
Eastern Oregon University,OR
Phagans School of Hair Design-Portland,OR
New Hope Christian College-Eugene,OR
George Fox University,OR
Phagans Grants Pass College of Beauty,OR
ITT Technical Institute-Portland,OR
Lane Community College,OR
Lewis & Clark College,OR
Linfield College-McMinnville Campus,OR
Linn-Benton Community College,OR
Northwest College-Beaverton,OR
Marylhurst University,OR
Phagans Medford Beauty School,OR
Northwest College-Clackamas,OR
Mount Angel Seminary,OR
Mt Hood Community College,OR
Multnomah University,OR
National College of Natural Medicine,OR
Northwest Nannies Institute,OR
Northwest Christian University,OR
Oregon University System,OR
Oregon Health & Science University,OR
Oregon Institute of Technology,OR
Oregon College of Art and Craft,OR
Oregon State University,OR
University of Oregon,OR
Pacific Northwest College of Art,OR
Pacific University,OR
Phagans Beauty College,OR
Phagans Central Oregon Beauty College,OR
Phagans School of Beauty,OR
Phagans School of Hair Design,OR
Phagans Tigard Beauty School,OR
Portland Community College,OR
Portland State University,OR
University of Portland,OR
Reed College,OR
Rogue Community College,OR
Roseburg Beauty College,OR
Pioneer Pacific College,OR
Springfield College of Beauty,OR
Southern Oregon University,OR
Southwestern Oregon Community College,OR
Treasure Valley Community College,OR
Umpqua Community College,OR
Warner Pacific College,OR
Corban University,OR
College of Cosmetology,OR
Everest College-Portland,OR
Western Seminary,OR
Willamette University,OR
Western Oregon University,OR
University of Western States,OR
Abington Memorial Hospital Dixon School of Nursing,PA
Jolie Hair and Beauty Academy-Hazleton,PA
Keystone Technical Institute,PA
Bryn Athyn College of the New Church,PA
Academy of Vocal Arts,PA
Albright College,PA
All-State Career School-Lester,PA
Community College of Allegheny County,PA
Allegheny College,PA
The Vision Academy,PA
DeSales University,PA
Altoona Beauty School Inc,PA
Alvernia University,PA
Magnolia School,PA
American College of Financial Services,PA
Antonelli Institute,PA
The Art Institutes of York-PA,PA
The Art Institute of Philadelphia,PA
Career Training Academy-New Kensington,PA
The Art Institute of Pittsburgh,PA
Automotive Training Center-Exton,PA
Baptist Bible College & Seminary of Pennsylvania,PA
Community College of Beaver County,PA
Arcadia University,PA
Biblical Theological Seminary,PA
Bidwell Training Center Inc,PA
Bloomsburg University of Pennsylvania,PA
Bradford School,PA
Bryn Mawr College,PA
Bucknell University,PA
Bucks County Community College,PA
Buck's County School of Beauty Culture Inc,PA
Butler Beauty Academy,PA
Butler County Community College,PA
Cabrini College,PA
California University of Pennsylvania,PA
Calvary Baptist Theological Seminary,PA
Cambria-Rowe Business College-Johnstown,PA
Carlow University,PA
Carnegie Mellon University,PA
Cedar Crest College,PA
Central Penn College,PA
Chatham University,PA
Chestnut Hill College,PA
Cheyney University of Pennsylvania,PA
Kaplan Career Institute-Franklin Mills,PA
Citizens School of Nursing,PA
Clarion University of Pennsylvania,PA
YTI Career Institute-Capital Region,PA
Conemaugh Valley Memorial Hospital,PA
Consolidated School of Business-York,PA
Curtis Institute of Music,PA
Dean Institute of Technology,PA
Delaware County Community College,PA
Delaware Valley College,PA
Dickinson College,PA
The Dickinson School of Law of the Pennsylvania State University,PA
Douglas Education Center,PA
Drexel University,PA
Du Bois Business College-Du Bois,PA
Everest Institute-Pittsburgh,PA
Duquesne University,PA
East Stroudsburg University of Pennsylvania,PA
Eastern University,PA
Edinboro University of Pennsylvania,PA
Elizabethtown College,PA
Empire Beauty School-State College,PA
Empire Beauty School-Lebanon,PA
Empire Beauty School-York,PA
Empire Beauty School-Lancaster,PA
Empire Beauty School-Williamsport,PA
Empire Beauty School-Shamokin Dam,PA
Empire Beauty School-Pottsville,PA
Empire Beauty  School-Lehigh Valley,PA
Empire Beauty School-Gwinnett,GA
Empire Beauty School-Wyoming Valley,PA
Empire Beauty School-Warminster,PA
Empire Beauty School-Harrisburg,PA
Empire Beauty School-Reading,PA
Erie Business Center-Erie,PA
Erie Institute of Technology Inc,PA
Evangelical Theological Seminary,PA
Faith Theological Seminary,MD
Aria Health School of Nursing,PA
Franklin and Marshall College,PA
Gannon University,PA
Geneva College,PA
Gettysburg College,PA
Empire Beauty School-Exton,PA
Empire Beauty School-Laurel Springs,NJ
Empire Beauty School-NE Philadelphia,PA
Gratz College,PA
Grove City College,PA
Gwynedd Mercy University,PA
Harcum College,PA
Harrisburg Area Community College-Harrisburg,PA
Haverford College,PA
Commonwealth Technical Institute,PA
Holy Family University,PA
Hussian School of Art,PA
Kaplan Career Institute-Pittsburgh,PA
Immaculata University,PA
Indiana University of Pennsylvania-Main Campus,PA
Pennsylvania School of Business,PA
Jameson Health System,PA
Great Lakes Institute of Technology,PA
Jolie Hair and Beauty Academy-Wilkes-Barre,PA
Johnson College,PA
Juniata College,PA
Keystone College,PA
Anthem Institute-Springfield,PA
King's College,PA
Kittanning Beauty School,PA
Kutztown University of Pennsylvania,PA
La Roche College,PA
La Salle University,PA
Lackawanna College,PA
Lafayette College,PA
Lancaster Bible College,PA
Lancaster Theological Seminary,PA
Lancaster School of Cosmetology,PA
Lansdale School of Business,PA
Lansdale School of Cosmetology Inc,PA
Lebanon Valley College,PA
Lehigh Carbon Community College,PA
Berks Technical Institute,PA
Lehigh University,PA
Levittown Beauty Academy,PA
Lincoln Technical Institute-Allentown,PA
Lincoln Technical Institute-Philadelphia,PA
Lincoln University of Pennsylvania,PA
Lock Haven University,PA
St Margaret School of Nursing,PA
Lutheran Theological Seminary at Gettysburg,PA
Lutheran Theological Seminary at Philadelphia,PA
Luzerne County Community College,PA
Lycoming College,PA
Erie Business Center-New Castle,PA
Manor College,PA
Mansfield University of Pennsylvania,PA
Marywood University,PA
Vet Tech Institute,PA
Roxborough Memorial Hospital School of Nursing,PA
Mercyhurst University,PA
Messiah College,PA
Metropolitan Career Center Computer Technology Institute,PA
Millersville University of Pennsylvania,PA
Misericordia University,PA
Montgomery County Community College,PA
Moore College of Art and Design,PA
Moravian College,PA
Mount Aloysius College,PA
Muhlenberg College,PA
Kaplan Career Institute-Philadelphia,PA
Neumann University,PA
New Castle School of Trades,PA
Newport Business Institute-Lower Burrell,PA
Northampton County Area Community College,PA
Pittsburgh's Ohio Valley Hospital School of Nursing,PA
Orleans Technical Institute,PA
Pennsylvania Academy of Cosmetology Arts and Sciences-Johnstown,PA
Salus University,PA
Pennsylvania Institute of Technology,PA
Pennsylvania State University-Penn State Erie-Behrend College,PA
Pennsylvania State University-Penn State Great Valley,PA
Pennsylvania State University-College of Medicine,PA
Pennsylvania State University-Penn State New Kensington,PA
Pennsylvania State University-Penn State Shenango,PA
Pennsylvania State University-Penn State Wilkes-Barre,PA
Pennsylvania State University-Penn State Worthington Scranton,PA
Pennsylvania State System of Higher Education-Central Office,PA
Pennsylvania State University-Penn State Lehigh Valley,PA
Pennsylvania State University-Penn State Altoona,PA
Pennsylvania State University-Penn State Beaver,PA
Pennsylvania State University-Penn State Berks,PA
Pennsylvania State University-Penn State Harrisburg,PA
Pennsylvania State University-Penn State Brandywine,PA
Pennsylvania State University-Penn State Dubois,PA
Pennsylvania State University-Penn State Fayette- Eberly,PA
Pennsylvania State University-Penn State Hazleton,PA
Pennsylvania State University-Main Campus,PA
Pennsylvania State University-Penn State Greater Allegheny,PA
Pennsylvania State University-Penn State Mont Alto,PA
Pennsylvania State University-Penn State Abington,PA
Pennsylvania State University-Penn State Schuylkill,PA
Pennsylvania State University-Penn State York,PA
Pace Institute,PA
Peirce College,PA
Penn Commercial Business/Technical School,PA
Pennco Tech-Bristol,PA
Pennsylvania Academy of Cosmetology Arts and Sciences-Du Bois,PA
Pennsylvania Academy of the Fine Arts,PA
Pennsylvania Gunsmith School,PA
Pennsylvania Institute of Taxidermy Inc,PA
Cortiva Institute-Pennsylvania School of Muscle Therapy,PA
Pennsylvania College of Art and Design,PA
University of Pennsylvania,PA
Philadelphia University,PA
The University of the Arts,PA
Cairn University-Langhorne,PA
Philadelphia College of Osteopathic Medicine,PA
University of the Sciences,PA
Community College of Philadelphia,PA
University of Pittsburgh-Bradford,PA
University of Pittsburgh-Greensburg,PA
University of Pittsburgh-Johnstown,PA
University of Pittsburgh-Pittsburgh Campus,PA
University of Pittsburgh-Titusville,PA
Beaver Falls Beauty Academy,PA
Pittsburgh Institute of Aeronautics,PA
Pittsburgh Institute of Mortuary Science Inc,PA
Pittsburgh Technical Institute,PA
Pittsburgh Theological Seminary,PA
Prism Career Institute-Upper Darby,PA
Point Park University,PA
Joseph F McCloskey School of Nursing at Schuylkill Health,PA
The Salon Professional Academy-Altoona,PA
Reading Area Community College,PA
Reading Hospital School of Health Sciences,PA
Reconstructionist Rabbinical College,PA
Reformed Presbyterian Theological Seminary,PA
The Restaurant School at Walnut Hill College,PA
Kaplan Career Institute-Broomall,PA
Robert Morris University,PA
Rosedale Technical Institute,PA
Rosemont College,PA
Saint Francis University,PA
Saint Joseph's University,PA
Saint Vincent College,PA
Saint Vincent Seminary,PA
Schuylkill Technology Center,PA
University of Scranton,PA
Seton Hill University,PA
Heritage Valley Sewickley School of Nursing,PA
University of Pittsburgh Medical Center-Shadyside School of Nursing,PA
Sharon Regional Health System School of Nursing,PA
Laurel Technical Institute,PA
Shippensburg University of Pennsylvania,PA
Slippery Rock University of Pennsylvania,PA
Saint Charles Borromeo Seminary-Overbrook,PA
South Hills Beauty Academy Inc,PA
South Hills School of Business & Technology,PA
St Lukes Hospital School of Nursing,PA
Stroudsburg School of Cosmetology,PA
Susquehanna University,PA
Swarthmore College,PA
Thaddeus Stevens College of Technology,PA
Talmudical Yeshiva of Philadelphia,PA
Temple University,PA
Theological Seminary of the Reformed Episcopal Church,PA
Thiel College,PA
Thomas Jefferson University,PA
Fortis Institute-Erie,PA
Triangle Tech Inc-Erie,PA
Triangle Tech Inc-Pittsburgh,PA
Triangle Tech Inc-Greensburg,PA
Triangle Tech Inc-Dubois,PA
Trinity Episcopal School for Ministry,PA
Ursinus College,PA
Valley Forge Christian College,PA
Valley Forge Military College,PA
Venus Beauty Academy,PA
Villanova University,PA
Washington Hospital School of Nursing,PA
Washington Hospital School of Radiography,PA
Washington & Jefferson College,PA
Waynesburg University,PA
Welder Training and Testing Institute,PA
West Chester University of Pennsylvania,PA
Western Pennsylvania Hospital School of Nursing,PA
Sanford-Brown Institute-Pittsburgh,PA
Westminster College,PA
Westminster Theological Seminary,PA
Westmoreland County Community College,PA
Widener University-Main Campus,PA
Wilkes University,PA
Newport Business Institute-Williamsport,PA
